datum;wahl;ags;gebiet-nr_x;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;E;F;SPD 1;SPD 2;CDU 1;CDU 2;Grüne 1;Grüne 2;FDP 1;FDP 2;AfD 1;AfD 2;Die Linke 1;Die Linke 2;FW 1;FW 2;Tier 1;Tier 2;PARTEI 1;PARTEI 2;Volt 1;Volt 2;Hum 1;Hum 2;MLPD 1;MLPD 2;BD 1;BD 2;BSW 1;BSW 2;EMRE;F15;SPD 1%;SPD 2%;CDU 1%;CDU 2%;Grüne 1%;Grüne 2%;FDP 1%;FDP 2%;AfD 1%;AfD 2%;Die Linke 1%;Die Linke 2%;FW 1%;FW 2%;Tier 1%;Tier 2%;PARTEI 1%;PARTEI 2%;Volt 1%;Volt 2%;Hum 1%;Hum 2%;MLPD 1%;MLPD 2%;BD 1%;BD 2%;BSW 1%;BSW 2%;gebiet-nr_y;wk_name
23.02.2025;Bundestagswahl;6412000;91409;914-09;1;1;0;0;0;0;405;405;0;405;0;405;84;76;104;104;126;115;16;17;27;25;26;37;7;3;;3;4;0;9;8;;0;0;0;0.0;0;;17;2.0;;20.74;18.77;25.68;25.68;31.11;28.4;3.95;4.2;6.67;6.17;6.42;9.14;1.73;0.74;;0.74;0.99;0.0;2.22;1.98;;0.0;0.0;0.0;0.0;0.0;;4.2;91409;Messe Frankfurt GmbH Briefwahlauszählung
23.02.2025;Bundestagswahl;6412000;91601;916-01;1;1;0;0;0;0;718;718;5;713;3;715;150;129;226;212;158;148;22;35;46;42;65;76;11;7;;14;10;3;14;12;;2;2;1;4.0;2;;32;5.0;;21.04;18.04;31.7;29.65;22.16;20.7;3.09;4.9;6.45;5.87;9.12;10.63;1.54;0.98;;1.96;1.4;0.42;1.96;1.68;;0.28;0.28;0.14;0.56;0.28;;4.48;91601;Messe Frankfurt GmbH Briefwahlauszählung
23.02.2025;Bundestagswahl;6412000;91602;916-02;1;1;0;0;0;0;584;584;6;578;4;580;120;107;153;135;128;105;24;33;52;50;63;82;10;5;;15;7;2;16;12;;4;0;0;1.0;0;;30;4.0;;20.76;18.45;26.47;23.28;22.15;18.1;4.15;5.69;9.0;8.62;10.9;14.14;1.73;0.86;;2.59;1.21;0.34;2.77;2.07;;0.69;0.0;0.0;0.17;0.0;;5.17;91602;Messe Frankfurt GmbH Briefwahlauszählung
23.02.2025;Bundestagswahl;6412000;91603;916-03;1;1;0;0;0;0;706;706;7;699;5;701;159;121;195;177;189;155;34;46;43;43;52;89;10;6;;10;3;4;8;10;;1;0;0;0.0;2;;37;6.0;;22.75;17.26;27.9;25.25;27.04;22.11;4.86;6.56;6.15;6.13;7.44;12.7;1.43;0.86;;1.43;0.43;0.57;1.14;1.43;;0.14;0.0;0.0;0.0;0.29;;5.28;91603;Messe Frankfurt GmbH Briefwahlauszählung
23.02.2025;Bundestagswahl;6412000;91701;917-01;1;1;0;0;0;0;519;519;0;519;1;518;106;85;142;128;125;109;30;41;37;44;45;62;5;4;;4;9;4;17;5;;0;0;0;3.0;0;;32;0.0;;20.42;16.41;27.36;24.71;24.08;21.04;5.78;7.92;7.13;8.49;8.67;11.97;0.96;0.77;;0.77;1.73;0.77;3.28;0.97;;0.0;0.0;0.0;0.58;0.0;;6.18;91701;Messe Frankfurt GmbH Briefwahlauszählung
23.02.2025;Bundestagswahl;6412000;91702;917-02;1;1;0;0;0;0;823;823;4;819;1;822;146;146;217;207;221;170;36;44;69;75;73;116;5;6;;4;12;3;32;27;;1;1;0;7.0;2;;21;0.0;;17.83;17.76;26.5;25.18;26.98;20.68;4.4;5.35;8.42;9.12;8.91;14.11;0.61;0.73;;0.49;1.47;0.36;3.91;3.28;;0.12;0.12;0.0;0.85;0.24;;2.55;91702;Messe Frankfurt GmbH Briefwahlauszählung
23.02.2025;Bundestagswahl;6412000;91703;917-03;1;1;0;0;0;0;533;533;5;528;3;530;114;107;149;132;107;90;29;34;39;46;50;61;8;8;;5;6;3;22;17;;1;4;0;0.0;2;;24;0.0;;21.59;20.19;28.22;24.91;20.27;16.98;5.49;6.42;7.39;8.68;9.47;11.51;1.52;1.51;;0.94;1.14;0.57;4.17;3.21;;0.19;0.76;0.0;0.0;0.38;;4.53;91703;Messe Frankfurt GmbH Briefwahlauszählung
23.02.2025;Bundestagswahl;6412000;91704;917-04;1;1;0;0;0;0;1053;1053;4;1049;3;1050;227;205;269;251;251;215;42;54;94;94;104;130;14;9;;7;16;13;25;15;;0;1;0;1.0;1;;56;5.0;;21.64;19.52;25.64;23.9;23.93;20.48;4.0;5.14;8.96;8.95;9.91;12.38;1.33;0.86;;0.67;1.53;1.24;2.38;1.43;;0.0;0.1;0.0;0.1;0.1;;5.33;91704;Messe Frankfurt GmbH Briefwahlauszählung
23.02.2025;Bundestagswahl;6412000;91705;917-05;1;1;0;0;0;0;998;998;4;994;3;995;180;175;323;297;269;213;35;69;72;78;59;101;9;6;;10;19;8;22;19;;0;1;0;2.0;0;;19;3.0;;18.11;17.59;32.49;29.85;27.06;21.41;3.52;6.93;7.24;7.84;5.94;10.15;0.91;0.6;;1.01;1.91;0.8;2.21;1.91;;0.0;0.1;0.0;0.2;0.0;;1.91;91705;Messe Frankfurt GmbH Briefwahlauszählung
23.02.2025;Bundestagswahl;6412000;91706;917-06;1;1;0;0;0;0;958;958;2;956;1;957;175;137;251;216;219;198;83;104;79;89;86;105;4;2;;12;16;11;38;30;;4;0;0;3.0;1;;48;2.0;;18.31;14.32;26.26;22.57;22.91;20.69;8.68;10.87;8.26;9.3;9.0;10.97;0.42;0.21;;1.25;1.67;1.15;3.97;3.13;;0.42;0.0;0.0;0.31;0.1;;5.02;91706;Messe Frankfurt GmbH Briefwahlauszählung
